Date,Temperature,AQI,Humidity
01-01-2026,14,180,68
02-01-2026,15,175,70
03-01-2026,13,190,72
04-01-2026,16,160,65
05-01-2026,17,150,60
06-01-2026,18,140,58
07-01-2026,19,135,55
08-01-2026,18,145,57
09-01-2026,17,155,60
10-01-2026,16,165,63
11-01-2026,15,170,66
12-01-2026,14,180,70
13-01-2026,13,195,72
14-01-2026,15,185,68
15-01-2026,16,175,64
16-01-2026,17,165,60
17-01-2026,18,155,58
18-01-2026,19,145,55
19-01-2026,20,140,53
20-01-2026,21,135,50
21-01-2026,22,130,48
22-01-2026,23,125,45
23-01-2026,24,120,42
24-01-2026,25,115,40
25-01-2026,26,110,38
26-01-2026,25,120,40
27-01-2026,24,130,42
28-01-2026,23,140,45
29-01-2026,22,150,48
30-01-2026,21,160,50
31-01-2026,20,170,52
01-02-2026,21,165,50
02-02-2026,22,160,48
03-02-2026,23,150,45
04-02-2026,24,145,43
05-02-2026,25,140,40
06-02-2026,26,135,38
07-02-2026,27,130,36
08-02-2026,28,125,34
09-02-2026,27,130,36
10-02-2026,26,135,38
11-02-2026,25,140,40
12-02-2026,24,145,42
13-02-2026,23,150,45
14-02-2026,22,155,48
15-02-2026,23,150,46
16-02-2026,24,145,44
17-02-2026,25,140,42
18-02-2026,26,135,40
19-02-2026,27,130,38
20-02-2026,28,125,36
21-02-2026,29,120,34
22-02-2026,30,115,32
23-02-2026,29,120,34
24-02-2026,28,125,36
25-02-2026,27,130,38
26-02-2026,26,135,40
27-02-2026,25,140,42
28-02-2026,24,145,44
01-03-2026,25,140,42
02-03-2026,26,135,40
03-03-2026,27,130,38
04-03-2026,28,125,36
05-03-2026,29,120,34
06-03-2026,30,115,32
07-03-2026,31,110,30
08-03-2026,32,105,28
09-03-2026,33,100,26
10-03-2026,34,95,25
11-03-2026,35,90,24
12-03-2026,34,95,25
13-03-2026,33,100,27
14-03-2026,32,105,29
15-03-2026,31,110,31
16-03-2026,30,115,33
17-03-2026,29,120,35
18-03-2026,28,125,37
19-03-2026,27,130,39
20-03-2026,28,125,37
21-03-2026,29,120,35
22-03-2026,30,115,33
23-03-2026,31,110,31
24-03-2026,32,105,29
25-03-2026,33,100,27
26-03-2026,34,95,25
27-03-2026,35,90,24
28-03-2026,36,85,23
29-03-2026,35,90,24
30-03-2026,34,95,25
31-03-2026,33,100,27
